text,intent
mo word,open_app
mo word giup toi,open_app
bat word len,open_app
khoi dong word,open_app
cho toi mo word,open_app
vao word giup toi,open_app
mo cai word len,open_app
toi can dung word,open_app
cho mo word mot lat,open_app
bat phan mem word,open_app
dong word,close_app
tat word,close_app
thoat word,close_app
dong word lai,close_app
tat word giup toi,close_app
thoat khoi word,close_app
dong het word,close_app
dong toan bo cua so word,close_app
ngung word,close_app
dung word lai,close_app
mo microsoft word,open_app
mo microsoft word giup toi,open_app
bat microsoft word len,open_app
khoi dong microsoft word,open_app
cho toi mo microsoft word,open_app
vao microsoft word giup toi,open_app
mo cai microsoft word len,open_app
toi can dung microsoft word,open_app
cho mo microsoft word mot lat,open_app
bat phan mem microsoft word,open_app
dong microsoft word,close_app
tat microsoft word,close_app
thoat microsoft word,close_app
dong microsoft word lai,close_app
tat microsoft word giup toi,close_app
thoat khoi microsoft word,close_app
dong het microsoft word,close_app
dong toan bo cua so microsoft word,close_app
ngung microsoft word,close_app
dung microsoft word lai,close_app
mo ms word,open_app
mo ms word giup toi,open_app
bat ms word len,open_app
khoi dong ms word,open_app
cho toi mo ms word,open_app
vao ms word giup toi,open_app
mo cai ms word len,open_app
toi can dung ms word,open_app
cho mo ms word mot lat,open_app
bat phan mem ms word,open_app
dong ms word,close_app
tat ms word,close_app
thoat ms word,close_app
dong ms word lai,close_app
tat ms word giup toi,close_app
thoat khoi ms word,close_app
dong het ms word,close_app
dong toan bo cua so ms word,close_app
ngung ms word,close_app
dung ms word lai,close_app
mo excel,open_app
mo excel giup toi,open_app
bat excel len,open_app
khoi dong excel,open_app
cho toi mo excel,open_app
vao excel giup toi,open_app
mo cai excel len,open_app
toi can dung excel,open_app
cho mo excel mot lat,open_app
bat phan mem excel,open_app
dong excel,close_app
tat excel,close_app
thoat excel,close_app
dong excel lai,close_app
tat excel giup toi,close_app
thoat khoi excel,close_app
dong het excel,close_app
dong toan bo cua so excel,close_app
ngung excel,close_app
dung excel lai,close_app
mo microsoft excel,open_app
mo microsoft excel giup toi,open_app
bat microsoft excel len,open_app
khoi dong microsoft excel,open_app
cho toi mo microsoft excel,open_app
vao microsoft excel giup toi,open_app
mo cai microsoft excel len,open_app
toi can dung microsoft excel,open_app
cho mo microsoft excel mot lat,open_app
bat phan mem microsoft excel,open_app
dong microsoft excel,close_app
tat microsoft excel,close_app
thoat microsoft excel,close_app
dong microsoft excel lai,close_app
tat microsoft excel giup toi,close_app
thoat khoi microsoft excel,close_app
dong het microsoft excel,close_app
dong toan bo cua so microsoft excel,close_app
ngung microsoft excel,close_app
dung microsoft excel lai,close_app
mo bang tinh excel,open_app
mo bang tinh excel giup toi,open_app
bat bang tinh excel len,open_app
khoi dong bang tinh excel,open_app
cho toi mo bang tinh excel,open_app
vao bang tinh excel giup toi,open_app
mo cai bang tinh excel len,open_app
toi can dung bang tinh excel,open_app
cho mo bang tinh excel mot lat,open_app
bat phan mem bang tinh excel,open_app
dong bang tinh excel,close_app
tat bang tinh excel,close_app
thoat bang tinh excel,close_app
dong bang tinh excel lai,close_app
tat bang tinh excel giup toi,close_app
thoat khoi bang tinh excel,close_app
dong het bang tinh excel,close_app
dong toan bo cua so bang tinh excel,close_app
ngung bang tinh excel,close_app
dung bang tinh excel lai,close_app
mo chrome,open_app
mo chrome giup toi,open_app
bat chrome len,open_app
khoi dong chrome,open_app
cho toi mo chrome,open_app
vao chrome giup toi,open_app
mo cai chrome len,open_app
toi can dung chrome,open_app
cho mo chrome mot lat,open_app
bat phan mem chrome,open_app
dong chrome,close_app
tat chrome,close_app
thoat chrome,close_app
dong chrome lai,close_app
tat chrome giup toi,close_app
thoat khoi chrome,close_app
dong het chrome,close_app
dong toan bo cua so chrome,close_app
ngung chrome,close_app
dung chrome lai,close_app
mo google chrome,open_app
mo google chrome giup toi,open_app
bat google chrome len,open_app
khoi dong google chrome,open_app
cho toi mo google chrome,open_app
vao google chrome giup toi,open_app
mo cai google chrome len,open_app
toi can dung google chrome,open_app
cho mo google chrome mot lat,open_app
bat phan mem google chrome,open_app
dong google chrome,close_app
tat google chrome,close_app
thoat google chrome,close_app
dong google chrome lai,close_app
tat google chrome giup toi,close_app
thoat khoi google chrome,close_app
dong het google chrome,close_app
dong toan bo cua so google chrome,close_app
ngung google chrome,close_app
dung google chrome lai,close_app
mo trinh duyet chrome,open_app
mo trinh duyet chrome giup toi,open_app
bat trinh duyet chrome len,open_app
khoi dong trinh duyet chrome,open_app
cho toi mo trinh duyet chrome,open_app
vao trinh duyet chrome giup toi,open_app
mo cai trinh duyet chrome len,open_app
toi can dung trinh duyet chrome,open_app
cho mo trinh duyet chrome mot lat,open_app
bat phan mem trinh duyet chrome,open_app
dong trinh duyet chrome,close_app
tat trinh duyet chrome,close_app
thoat trinh duyet chrome,close_app
dong trinh duyet chrome lai,close_app
tat trinh duyet chrome giup toi,close_app
thoat khoi trinh duyet chrome,close_app
dong het trinh duyet chrome,close_app
dong toan bo cua so trinh duyet chrome,close_app
ngung trinh duyet chrome,close_app
dung trinh duyet chrome lai,close_app
mo edge,open_app
mo edge giup toi,open_app
bat edge len,open_app
khoi dong edge,open_app
cho toi mo edge,open_app
vao edge giup toi,open_app
mo cai edge len,open_app
toi can dung edge,open_app
cho mo edge mot lat,open_app
bat phan mem edge,open_app
dong edge,close_app
tat edge,close_app
thoat edge,close_app
dong edge lai,close_app
tat edge giup toi,close_app
thoat khoi edge,close_app
dong het edge,close_app
dong toan bo cua so edge,close_app
ngung edge,close_app
dung edge lai,close_app
mo microsoft edge,open_app
mo microsoft edge giup toi,open_app
bat microsoft edge len,open_app
khoi dong microsoft edge,open_app
cho toi mo microsoft edge,open_app
vao microsoft edge giup toi,open_app
mo cai microsoft edge len,open_app
toi can dung microsoft edge,open_app
cho mo microsoft edge mot lat,open_app
bat phan mem microsoft edge,open_app
dong microsoft edge,close_app
tat microsoft edge,close_app
thoat microsoft edge,close_app
dong microsoft edge lai,close_app
tat microsoft edge giup toi,close_app
thoat khoi microsoft edge,close_app
dong het microsoft edge,close_app
dong toan bo cua so microsoft edge,close_app
ngung microsoft edge,close_app
dung microsoft edge lai,close_app
mo trinh duyet edge,open_app
mo trinh duyet edge giup toi,open_app
bat trinh duyet edge len,open_app
khoi dong trinh duyet edge,open_app
cho toi mo trinh duyet edge,open_app
vao trinh duyet edge giup toi,open_app
mo cai trinh duyet edge len,open_app
toi can dung trinh duyet edge,open_app
cho mo trinh duyet edge mot lat,open_app
bat phan mem trinh duyet edge,open_app
dong trinh duyet edge,close_app
tat trinh duyet edge,close_app
thoat trinh duyet edge,close_app
dong trinh duyet edge lai,close_app
tat trinh duyet edge giup toi,close_app
thoat khoi trinh duyet edge,close_app
dong het trinh duyet edge,close_app
dong toan bo cua so trinh duyet edge,close_app
ngung trinh duyet edge,close_app
dung trinh duyet edge lai,close_app
mo zalo,open_app
mo zalo giup toi,open_app
bat zalo len,open_app
khoi dong zalo,open_app
cho toi mo zalo,open_app
vao zalo giup toi,open_app
mo cai zalo len,open_app
toi can dung zalo,open_app
cho mo zalo mot lat,open_app
bat phan mem zalo,open_app
dong zalo,close_app
tat zalo,close_app
thoat zalo,close_app
dong zalo lai,close_app
tat zalo giup toi,close_app
thoat khoi zalo,close_app
dong het zalo,close_app
dong toan bo cua so zalo,close_app
ngung zalo,close_app
dung zalo lai,close_app
mo vscode,open_app
mo vscode giup toi,open_app
bat vscode len,open_app
khoi dong vscode,open_app
cho toi mo vscode,open_app
vao vscode giup toi,open_app
mo cai vscode len,open_app
toi can dung vscode,open_app
cho mo vscode mot lat,open_app
bat phan mem vscode,open_app
dong vscode,close_app
tat vscode,close_app
thoat vscode,close_app
dong vscode lai,close_app
tat vscode giup toi,close_app
thoat khoi vscode,close_app
dong het vscode,close_app
dong toan bo cua so vscode,close_app
ngung vscode,close_app
dung vscode lai,close_app
mo vs code,open_app
mo vs code giup toi,open_app
bat vs code len,open_app
khoi dong vs code,open_app
cho toi mo vs code,open_app
vao vs code giup toi,open_app
mo cai vs code len,open_app
toi can dung vs code,open_app
cho mo vs code mot lat,open_app
bat phan mem vs code,open_app
dong vs code,close_app
tat vs code,close_app
thoat vs code,close_app
dong vs code lai,close_app
tat vs code giup toi,close_app
thoat khoi vs code,close_app
dong het vs code,close_app
dong toan bo cua so vs code,close_app
ngung vs code,close_app
dung vs code lai,close_app
mo visual studio code,open_app
mo visual studio code giup toi,open_app
bat visual studio code len,open_app
khoi dong visual studio code,open_app
cho toi mo visual studio code,open_app
vao visual studio code giup toi,open_app
mo cai visual studio code len,open_app
toi can dung visual studio code,open_app
cho mo visual studio code mot lat,open_app
bat phan mem visual studio code,open_app
dong visual studio code,close_app
tat visual studio code,close_app
thoat visual studio code,close_app
dong visual studio code lai,close_app
tat visual studio code giup toi,close_app
thoat khoi visual studio code,close_app
dong het visual studio code,close_app
dong toan bo cua so visual studio code,close_app
ngung visual studio code,close_app
dung visual studio code lai,close_app
mo notepad,open_app
mo notepad giup toi,open_app
bat notepad len,open_app
khoi dong notepad,open_app
cho toi mo notepad,open_app
vao notepad giup toi,open_app
mo cai notepad len,open_app
toi can dung notepad,open_app
cho mo notepad mot lat,open_app
bat phan mem notepad,open_app
dong notepad,close_app
tat notepad,close_app
thoat notepad,close_app
dong notepad lai,close_app
tat notepad giup toi,close_app
thoat khoi notepad,close_app
dong het notepad,close_app
dong toan bo cua so notepad,close_app
ngung notepad,close_app
dung notepad lai,close_app
mo ghi chu,open_app
mo ghi chu giup toi,open_app
bat ghi chu len,open_app
khoi dong ghi chu,open_app
cho toi mo ghi chu,open_app
vao ghi chu giup toi,open_app
mo cai ghi chu len,open_app
toi can dung ghi chu,open_app
cho mo ghi chu mot lat,open_app
bat phan mem ghi chu,open_app
dong ghi chu,close_app
tat ghi chu,close_app
thoat ghi chu,close_app
dong ghi chu lai,close_app
tat ghi chu giup toi,close_app
thoat khoi ghi chu,close_app
dong het ghi chu,close_app
dong toan bo cua so ghi chu,close_app
ngung ghi chu,close_app
dung ghi chu lai,close_app
tim file bao cao,find_file
kiem giup toi file bao cao,find_file
tim tai lieu bao cao,find_file
kiem tra file bao cao trong may,find_file
tim thu bao cao,find_file
mo file bao cao,find_file
cho toi xem file bao cao,find_file
tai lieu bao cao nam dau,find_file
mo tai lieu bao cao,find_file
tim dum toi ban bao cao,find_file
xoa file bao cao,delete_file_name
xoa tai lieu bao cao,delete_file_name
bo file bao cao vao thung rac,delete_file_name
